,DÁTUM,5,25,45,65,85,105
202,2020-09-09 00:00:00,0.0,0.0,0.0,0.0,6.150250622712875e-07,7.4388710769253654e-06
203,2020-09-08 00:00:00,0.0,0.0,0.0,0.0,6.150250622712875e-07,0.0
204,2020-09-07 00:00:00,0.0,0.0,0.0,3.8260421086542396e-07,0.0,0.0
205,2020-09-05 00:00:00,0.0,0.0,0.0,3.8260421086542396e-07,0.0,1.4877742153850731e-05
206,2020-09-04 00:00:00,0.0,0.0,0.0,0.0,6.150250622712875e-07,0.0
207,2020-09-03 00:00:00,0.0,0.0,0.0,0.0,6.150250622712875e-07,0.0
208,2020-09-02 00:00:00,0.0,0.0,0.0,3.8260421086542396e-07,6.150250622712875e-07,7.4388710769253654e-06
209,2020-09-01 00:00:00,0.0,0.0,0.0,0.0,6.150250622712875e-07,0.0
210,2020-08-31 00:00:00,0.0,0.0,0.0,0.0,6.150250622712875e-07,0.0
211,2020-08-25 00:00:00,0.0,0.0,0.0,0.0,0.0,7.4388710769253654e-06
212,2020-08-23 00:00:00,0.0,0.0,0.0,0.0,6.150250622712875e-07,7.4388710769253654e-06
213,2020-08-21 00:00:00,0.0,0.0,0.0,0.0,1.230050124542575e-06,0.0
214,2020-08-18 00:00:00,0.0,0.0,0.0,0.0,6.150250622712875e-07,0.0
215,2020-08-16 00:00:00,0.0,0.0,0.0,0.0,6.150250622712875e-07,0.0
